scene,listener,sii
S06001,L0064,0.3158711972463505
S06001,L0068,0.32580740647587897
S06001,L0008,0.14368893161680268
S06002,L0044,0.3887190461289966
S06002,L0082,0.44476993453196056
S06002,L0078,0.37403165814760886
S06003,L0066,0.2867009453033358
S06003,L0051,0.5947044141970336
S06003,L0077,0.6016537203350539
S06004,L0059,0.5117438287914278
S06004,L0092,0.43184179560886904
S06004,L0036,0.39176601720158033
S06005,L0081,0.32509384284101034
S06005,L0023,0.3323059272628801
S06005,L0048,0.2134868588606013
S06006,L0023,0.21949310995700486
S06006,L0015,0.2293278685456387
S06006,L0097,0.2654309130852168
S06007,L0042,0.24885554242936903
S06007,L0085,0.30557389738005464
S06007,L0095,0.2703860582725085
S06008,L0024,0.25614259898561487
S06008,L0053,0.17108126073393395
S06008,L0015,0.21339161183083108
S06009,L0012,0.45429208158964135
S06009,L0056,0.4949768426726126
S06009,L0076,0.5042900251976347
S06010,L0089,0.5442156451924101
S06010,L0015,0.4108452364020492
S06010,L0059,0.5862469589490487
S06011,L0070,0.6502967871519246
S06011,L0054,0.5401304642571024
S06011,L0096,0.5076793795347682
S06012,L0099,0.5150229431217753
S06012,L0035,0.45539402599809575
S06012,L0088,0.6047798348766718
S06013,L0077,0.5820339533397566
S06013,L0071,0.6019771384936291
S06013,L0083,0.6036319384875516
S06014,L0044,0.4521892408957981
S06014,L0010,0.4080039680068615
S06014,L0088,0.620602012017144
S06015,L0002,0.1726766004448461
S06015,L0014,0.19507964170997408
S06015,L0066,0.2590077331592586
S06016,L0098,0.4233715327076571
S06016,L0001,0.3839687375118628
S06016,L0096,0.25397075780856293
S06017,L0080,0.5879465230329031
S06017,L0056,0.4755063460173428
S06017,L0041,0.46706618920473253
S06018,L0055,0.5390858222399316
S06018,L0011,0.4485782257385724
S06018,L0032,0.47592568289731607
S06019,L0090,0.4697299707222635
S06019,L0038,0.41634619534013523
S06019,L0040,0.40971917737632213
S06020,L0024,0.37287247116921246
S06020,L0086,0.33422119485044754
S06020,L0072,0.33258027657088457
S06021,L0014,0.40154923819806915
S06021,L0013,0.5072103983786919
S06021,L0054,0.45704271931698676
S06022,L0082,0.37936162381269134
S06022,L0078,0.33537354629018334
S06022,L0017,0.37478183838373796
S06023,L0051,0.20062283046111112
S06023,L0088,0.2518601469084102
S06023,L0049,0.2266785111424814
S06024,L0021,0.4808513785327923
S06024,L0088,0.5377071958739755
S06024,L0056,0.4620150287286766
S06025,L0086,0.24575175109288874
S06025,L0035,0.24229073094915415
S06025,L0095,0.19442479938490925
S06026,L0088,0.5197756702750332
S06026,L0093,0.5032605319068371
S06026,L0048,0.3424461058350297
S06027,L0071,0.5335620899672844
S06027,L0014,0.4822819795807452
S06027,L0094,0.5186488434722315
S06028,L0064,0.3531304361597653
S06028,L0054,0.4544063582628542
S06028,L0091,0.6117669294841824
S06029,L0040,0.35237177481221843
S06029,L0049,0.3017580166440612
S06029,L0031,0.2220482441094262
S06030,L0032,0.45299529834994623
S06030,L0031,0.3132206716020438
S06030,L0005,0.4244562762049556
S06031,L0096,0.393660199318562
S06031,L0044,0.41671875608285247
S06031,L0076,0.4003066676043071
S06032,L0011,0.3635047890677195
S06032,L0014,0.24184478054344255
S06032,L0022,0.32249652013914315
S06033,L0026,0.3867042024140234
S06033,L0005,0.5096477023068685
S06033,L0013,0.46715100548253763
S06034,L0086,0.4189948176121686
S06034,L0065,0.5436040361494258
S06034,L0084,0.5480038055323873
S06035,L0047,0.4330444131530101
S06035,L0083,0.5478379660853603
S06035,L0040,0.41781734525577247
S06036,L0036,0.2796289607186696
S06036,L0093,0.5846481258418251
S06036,L0068,0.4198045852082003
S06037,L0092,0.4504079315803068
S06037,L0047,0.491689735293836
S06037,L0072,0.4128267097921085
S06038,L0080,0.686130638083845
S06038,L0100,0.6139433792192827
S06038,L0059,0.5043678702476618
S06039,L0013,0.5687634313106436
S06039,L0055,0.45854575425365623
S06039,L0096,0.5268472957718981
S06040,L0019,0.5154229513271601
S06040,L0078,0.47504183466188665
S06040,L0093,0.5230246307896261
S06041,L0098,0.5290347186273057
S06041,L0056,0.4954801547093634
S06041,L0032,0.5270498917754367
S06042,L0041,0.16190338869672896
S06042,L0003,0.16558336947257943
S06042,L0045,0.2159602241798713
S06043,L0019,0.3781902785621973
S06043,L0038,0.4124897963196937
S06043,L0062,0.3756661136902364
S06044,L0028,0.39028680060884946
S06044,L0056,0.4356716444362031
S06044,L0069,0.7345477763195538
S06045,L0010,0.2603340677220099
S06045,L0015,0.3565022057505771
S06045,L0024,0.4029736813607943
S06046,L0038,0.21504777458677024
S06046,L0008,0.22421958563232994
S06046,L0091,0.4029380413643203
S06047,L0099,0.35940999008898566
S06047,L0085,0.3536961831128357
S06047,L0095,0.40510670645519864
S06048,L0012,0.4762027181693426
S06048,L0004,0.30513442380820066
S06048,L0021,0.4305092641428883
S06049,L0099,0.39001909098480997
S06049,L0032,0.4490771409293135
S06049,L0095,0.4110772470859991
S06050,L0091,0.5904232802268876
S06050,L0021,0.3806196396435684
S06050,L0065,0.5088437969446999
S06051,L0014,0.2961015009456379
S06051,L0062,0.29444181224098054
S06051,L0019,0.3288222789432496
S06052,L0005,0.5806773455318379
S06052,L0095,0.4692874983681532
S06052,L0003,0.48613751781011316
S06053,L0032,0.5157730355154776
S06053,L0031,0.4635925805881472
S06053,L0021,0.4828751555609794
S06054,L0077,0.23693524662882343
S06054,L0035,0.1823087610821554
S06054,L0010,0.17135611269443296
S06055,L0003,0.45704597506472244
S06055,L0086,0.43708660510084646
S06055,L0069,0.704985686812072
S06056,L0097,0.49861555997156726
S06056,L0015,0.4880380077319044
S06056,L0044,0.5468400232952498
S06057,L0011,0.5254722283752056
S06057,L0038,0.3747887913009937
S06057,L0012,0.4978389053393231
S06058,L0100,0.5819344252397787
S06058,L0051,0.5012721237606462
S06058,L0058,0.4896515486331799
S06059,L0070,0.3105161663871469
S06059,L0031,0.23403023040505191
S06059,L0010,0.23865032043487303
S06060,L0081,0.3855169450724851
S06060,L0074,0.4891463524492666
S06060,L0008,0.4076033261274833
S06061,L0094,0.4999250173443776
S06061,L0015,0.3794631035130908
S06061,L0065,0.46667947147879574
S06062,L0034,0.4196065000299094
S06062,L0044,0.5401115072184406
S06062,L0059,0.5932145157821177
S06063,L0076,0.2707967434342354
S06063,L0090,0.2732546889708998
S06063,L0028,0.19519556851675318
S06064,L0035,0.239929780278974
S06064,L0010,0.20029441889576674
S06064,L0027,0.20714102293099274
S06065,L0027,0.2605319503314427
S06065,L0057,0.3970621274693522
S06065,L0084,0.3664585982828909
S06066,L0042,0.4252454436778898
S06066,L0021,0.39259624805497684
S06066,L0094,0.40456985137688883
S06067,L0071,0.6692544939377696
S06067,L0029,0.6709357893755868
S06067,L0002,0.6701847012634488
S06068,L0076,0.3168315893702511
S06068,L0067,0.3952110843865837
S06068,L0090,0.37736765427937025
S06069,L0082,0.451303876414671
S06069,L0053,0.652621101082156
S06069,L0059,0.4294643479436607
S06070,L0064,0.5471440423318141
S06070,L0042,0.4641874512550512
S06070,L0026,0.4143939124499985
S06071,L0089,0.46089687224313064
S06071,L0002,0.4711424886242408
S06071,L0073,0.38601978742690635
S06072,L0013,0.48132144625870726
S06072,L0056,0.4031708640978736
S06072,L0008,0.4062577086967298
S06073,L0086,0.4798052927348567
