scene,listener,haspi
S06001,L0064,0.015811182689588626
S06001,L0068,0.018544983185196765
S06001,L0008,0.01997672048868684
S06002,L0044,0.008779254171690141
S06002,L0082,0.017936989004876606
S06002,L0078,0.027642487970524893
S06003,L0066,0.08807392330102823
S06003,L0051,0.07220487749007522
S06003,L0077,0.1901737295634559
S06004,L0059,0.03906965406273031
S06004,L0092,0.007949820418793033
S06004,L0036,0.022725848165733968
S06005,L0081,0.009086296012522505
S06005,L0023,0.014918542237140972
S06005,L0048,0.015790754399913655
S06006,L0023,0.013574479831428123
S06006,L0015,0.020087021622092343
S06006,L0097,0.010351307856006155
S06007,L0042,0.03742919216961689
S06007,L0085,0.2844645778092714
S06007,L0095,0.011481557332616727
S06008,L0024,0.14264214468867764
S06008,L0053,0.24606257488483105
S06008,L0015,0.24021683991528556
S06009,L0012,0.12472360970385939
S06009,L0056,0.09548526027576797
S06009,L0076,0.19233823879245865
S06010,L0089,0.7928438160861582
S06010,L0015,0.9240481716928217
S06010,L0059,0.7168446750935134
S06011,L0070,0.20089338365205378
S06011,L0054,0.15160407654183408
S06011,L0096,0.049583548428137635
S06012,L0099,0.04992976135053258
S06012,L0035,0.22855113966986876
S06012,L0088,0.6815185077995628
S06013,L0077,0.08821253750615089
S06013,L0071,0.06442445511895567
S06013,L0083,0.04585261881774528
S06014,L0044,0.03411438520697912
S06014,L0010,0.03068119347127328
S06014,L0088,0.49308510158217905
S06015,L0002,0.5920690417884441
S06015,L0014,0.5193443943449837
S06015,L0066,0.18601834021723918
S06016,L0098,0.18192459951245465
S06016,L0001,0.03319098306722727
S06016,L0096,0.024508238181012353
S06017,L0080,0.023569746388376254
S06017,L0056,0.04031142028778204
S06017,L0041,0.01290393386647134
S06018,L0055,0.021824645494817264
S06018,L0011,0.010925129153414473
S06018,L0032,0.03472272797396914
S06019,L0090,0.5088200857078248
S06019,L0038,0.43325819116557907
S06019,L0040,0.33796536236953206
S06020,L0024,0.5343466521081316
S06020,L0086,0.5752117220322597
S06020,L0072,0.11112581744783508
S06021,L0014,0.21020022090521528
S06021,L0013,0.49338299265068936
S06021,L0054,0.10051926867782024
S06022,L0082,0.014341151058625897
S06022,L0078,0.013170900194109174
S06022,L0017,0.03368109087633353
S06023,L0051,0.014887006066056847
S06023,L0088,0.2709568430698203
S06023,L0049,0.0454839116849299
S06024,L0021,0.023424996320872898
S06024,L0088,0.05633826730471134
S06024,L0056,0.08032123542745581
S06025,L0086,0.5090023292801308
S06025,L0035,0.2297758499696158
S06025,L0095,0.11451268053309954
S06026,L0088,0.30945521586809227
S06026,L0093,0.30312381710061564
S06026,L0048,0.3799984294021685
S06027,L0071,0.3824556983712157
S06027,L0014,0.16554038353245315
S06027,L0094,0.4788162562521548
S06028,L0064,0.010171899081024964
S06028,L0054,0.009427026914084648
S06028,L0091,0.02672404013956913
S06029,L0040,0.02054077746595731
S06029,L0049,0.04096384842728114
S06029,L0031,0.04958103783688851
S06030,L0032,0.7175831659038674
S06030,L0031,0.5198698598982353
S06030,L0005,0.4301523633531055
S06031,L0096,0.00745265361381252
S06031,L0044,0.007615285979808816
S06031,L0076,0.007626355907197303
S06032,L0011,0.016614671095054042
S06032,L0014,0.028422551681825958
S06032,L0022,0.03612324389011004
S06033,L0026,0.02370763337897505
S06033,L0005,0.015451335451499862
S06033,L0013,0.12733555995518878
S06034,L0086,0.030009358612440598
S06034,L0065,0.3886003589447517
S06034,L0084,0.0887013901190365
S06035,L0047,0.0051768187612267836
S06035,L0083,0.005512830570768114
S06035,L0040,0.011327768332439191
S06036,L0036,0.06215312205047968
S06036,L0093,0.16908937458033518
S06036,L0068,0.041656985057582245
S06037,L0092,0.1319277205946437
S06037,L0047,0.5378467100209673
S06037,L0072,0.2390550040069973
S06038,L0080,0.03258778667495986
S06038,L0100,0.02048231396517832
S06038,L0059,0.02141859884231707
S06039,L0013,0.2798387504026495
S06039,L0055,0.37187146361166046
S06039,L0096,0.22391722800240813
S06040,L0019,0.02179661140857696
S06040,L0078,0.04588391531186139
S06040,L0093,0.08623972934056846
S06041,L0098,0.04088684701147109
S06041,L0056,0.03668532781987268
S06041,L0032,0.04658284550527007
S06042,L0041,0.04613122519073202
S06042,L0003,0.029823079711164213
S06042,L0045,0.009584662909195725
S06043,L0019,0.20235082858267386
S06043,L0038,0.10884366108462061
S06043,L0062,0.1919714737941822
S06044,L0028,0.020564547679518444
S06044,L0056,0.04639162383258309
S06044,L0069,0.028699252567763286
S06045,L0010,0.019825602048387084
S06045,L0015,0.24058374355081616
S06045,L0024,0.10052934481208041
S06046,L0038,0.13586342975426124
S06046,L0008,0.43791506387679224
S06046,L0091,0.6685894435665438
S06047,L0099,0.2083857656638965
S06047,L0085,0.1344451291837773
S06047,L0095,0.09304862467273604
S06048,L0012,0.051365815344980574
S06048,L0004,0.05551018459491052
S06048,L0021,0.04895696361407262
S06049,L0099,0.012482445376850322
S06049,L0032,0.011296615756933637
S06049,L0095,0.010151146275649158
S06050,L0091,0.07707118155036369
S06050,L0021,0.0526962035457874
S06050,L0065,0.05025343813849499
