scene,listener,haspi
S06001,L0064,0.049895541034021995
S06001,L0068,0.13900149352541824
S06001,L0008,0.32477190469087125
S06002,L0044,0.21873380060333222
S06002,L0082,0.34703478932012544
S06002,L0078,0.24112724976378985
S06003,L0066,0.02208620685131709
S06003,L0051,0.02487457089959389
S06003,L0077,0.025975046137357467
S06004,L0059,0.33256595522477594
S06004,L0092,0.6049241238240527
S06004,L0036,0.4934454036302383
S06005,L0081,0.475484073447545
S06005,L0023,0.4162383191732136
S06005,L0048,0.4487759990585056
S06006,L0023,0.8411317378271859
S06006,L0015,0.8463797124912554
S06006,L0097,0.849315381897853
S06007,L0042,0.7882422143406145
S06007,L0085,0.2924805927647195
S06007,L0095,0.10572731158103635
S06008,L0024,0.0063929584796477605
S06008,L0053,0.0075092533117440225
S06008,L0015,0.005490855871728988
S06009,L0012,0.007450661584213663
S06009,L0056,0.012722875218794135
S06009,L0076,0.010122804343134633
S06010,L0089,0.10233850586377745
S06010,L0015,0.15316325836439273
S06010,L0059,0.16954054398772983
S06011,L0070,0.2018928089862824
S06011,L0054,0.0856599278880106
S06011,L0096,0.06619369944688637
S06012,L0099,0.01018729520361814
S06012,L0035,0.011854508804719202
S06012,L0088,0.029664696848403668
S06013,L0077,0.024276128713805443
S06013,L0071,0.023676265495238005
S06013,L0083,0.024673580207987524
S06014,L0044,0.014928000266156457
S06014,L0010,0.013815838647873712
S06014,L0088,0.021801300505826085
S06015,L0002,0.1429216338787224
S06015,L0014,0.1369810835196331
S06015,L0066,0.2062686409505563
S06016,L0098,0.428529862868348
S06016,L0001,0.38168101647518954
S06016,L0096,0.462973148137534
S06017,L0080,0.0791211250555565
S06017,L0056,0.07505950041765372
S06017,L0041,0.030340864815340728
S06018,L0055,0.3584109281980872
S06018,L0011,0.1230384648916711
S06018,L0032,0.4173869118869137
S06019,L0090,0.06922443931345845
S06019,L0038,0.055196947489954
S06019,L0040,0.06266587663119692
S06020,L0024,0.28850238970210235
S06020,L0086,0.25876869097710475
S06020,L0072,0.19251153535687698
S06021,L0014,0.006273590324176365
S06021,L0013,0.006680800508179226
S06021,L0054,0.00824858224141389
S06022,L0082,0.612608999487886
S06022,L0078,0.6561510511129129
S06022,L0017,0.5558250728319127
S06023,L0051,0.07615785088131405
