scene,listener,haspi
S06001,L0064,0.047689879808861566
S06001,L0068,0.03242666704353522
S06001,L0008,0.03349432876050783
S06002,L0044,0.08999234071777758
S06002,L0082,0.3134940056598178
S06002,L0078,0.23023706036849814
S06003,L0066,0.028563374691704203
S06003,L0051,0.06304363341123047
S06003,L0077,0.02227083339307943
S06004,L0059,0.38416002875605654
S06004,L0092,0.07497741190243482
S06004,L0036,0.022180788194843367
S06005,L0081,0.28552336838464515
S06005,L0023,0.28665140293679936
S06005,L0048,0.4210287988613064
S06006,L0023,0.7968680416343737
S06006,L0015,0.8487578627584914
S06006,L0097,0.632739940172998
S06007,L0042,0.5497169331170202
S06007,L0085,0.1085608454970463
S06007,L0095,0.0211277988130418
S06008,L0024,0.00778619554023297
S06008,L0053,0.008869616708655336
S06008,L0015,0.0056340765364081315
S06009,L0012,0.01088134679515797
S06009,L0056,0.008949028204350923
S06009,L0076,0.018229484452364372
S06010,L0089,0.0762957678468146
S06010,L0015,0.08386804971056092
S06010,L0059,0.07331276862889118
S06011,L0070,0.008512196746304799
S06011,L0054,0.025286462975164802
S06011,L0096,0.00666825213698545
S06012,L0099,0.006201148041710655
S06012,L0035,0.013065382521620967
S06012,L0088,0.015365230967229832
S06013,L0077,0.03014060699740219
S06013,L0071,0.036100906190825684
S06013,L0083,0.02415813504040885
S06014,L0044,0.006532415881311243
S06014,L0010,0.007008350016744258
S06014,L0088,0.04292258848495379
S06015,L0002,0.3268782749939692
S06015,L0014,0.3005220627872782
S06015,L0066,0.21669929422208162
S06016,L0098,0.33885000525468206
S06016,L0001,0.2713243456522316
S06016,L0096,0.1341658687443338
S06017,L0080,0.09042445598965641
S06017,L0056,0.06904441146923826
S06017,L0041,0.03690759621501432
S06018,L0055,0.09196805031303025
S06018,L0011,0.01831980705141029
S06018,L0032,0.14740041716054314
S06019,L0090,0.10054369531448293
S06019,L0038,0.06339299972241409
S06019,L0040,0.06370153301271327
S06020,L0024,0.2370786646995366
S06020,L0086,0.13934101261720824
S06020,L0072,0.1124434111601771
S06021,L0014,0.00515482079260813
S06021,L0013,0.008284635018784948
S06021,L0054,0.0073177449236009285
S06022,L0082,0.5614081994024132
S06022,L0078,0.5819096749608381
S06022,L0017,0.5665129801121647
S06023,L0051,0.05295181524167627
S06023,L0088,0.12580846251397004
S06023,L0049,0.023173786063067105
S06024,L0021,0.006695391555383357
S06024,L0088,0.006537220967388422
S06024,L0056,0.006443485097164176
S06025,L0086,0.040671730462413305
S06025,L0035,0.03401374214877329
S06025,L0095,0.044375656653992006
S06026,L0088,0.007966547287678327
S06026,L0093,0.00883306908988671
S06026,L0048,0.007710625910226831
S06027,L0071,0.010549103362882263
S06027,L0014,0.007149667294099988
S06027,L0094,0.012643059256329383
S06028,L0064,0.010217824904164657
S06028,L0054,0.012695753159750507
S06028,L0091,0.01011363392536684
S06029,L0040,0.23540786225790886
S06029,L0049,0.20716483837857202
S06029,L0031,0.22401176255704985
S06030,L0032,0.19838938966688568
S06030,L0031,0.2636909386651472
S06030,L0005,0.235866551323357
S06031,L0096,0.03177410627672703
S06031,L0044,0.030256664927873333
S06031,L0076,0.06600827134784922
S06032,L0011,0.00969332241655412
S06032,L0014,0.03195204804162114
S06032,L0022,0.017510915494753507
S06033,L0026,0.14510515715966452
S06033,L0005,0.20953090484159378
S06033,L0013,0.6163512785798976
S06034,L0086,0.03714467244282934
S06034,L0065,0.027671863687980455
S06034,L0084,0.21320081305572167
S06035,L0047,0.20700685903073693
S06035,L0083,0.2140813596180962
S06035,L0040,0.08257760639810298
S06036,L0036,0.012151128332181549
S06036,L0093,0.039364880388058854
S06036,L0068,0.0259235786139187
S06037,L0092,0.021058560520236642
S06037,L0047,0.0330506556989402
S06037,L0072,0.035945343676655014
S06038,L0080,0.6699619326824232
S06038,L0100,0.7913409203462861
S06038,L0059,0.7105123128086241
S06039,L0013,0.0068349771101107225
S06039,L0055,0.006755402999411752
S06039,L0096,0.006202787527662629
S06040,L0019,0.6541816127160329
S06040,L0078,0.6407038232171425
S06040,L0093,0.7155463523665972
S06041,L0098,0.032526605060697864
S06041,L0056,0.08550117435733767
S06041,L0032,0.08671781794527256
S06042,L0041,0.03123261595276197
S06042,L0003,0.06689714335516088
S06042,L0045,0.03291190185589933
S06043,L0019,0.052076715579713856
S06043,L0038,0.012478647380490548
S06043,L0062,0.01053504400486794
S06044,L0028,0.24579898903098993
S06044,L0056,0.4156240933686565
S06044,L0069,0.14623302293098
S06045,L0010,0.010190364810149235
S06045,L0015,0.012245851960012315
S06045,L0024,0.014799409799885687
S06046,L0038,0.02098783472953684
S06046,L0008,0.04926270220507537
S06046,L0091,0.15527509437736198
S06047,L0099,0.01593876785762099
S06047,L0085,0.018412771527380724
S06047,L0095,0.01754183869544247
S06048,L0012,0.028845091479526238
S06048,L0004,0.040470362045641944
S06048,L0021,0.02491387461969477
S06049,L0099,0.03258056592128617
S06049,L0032,0.28010050350914534
S06049,L0095,0.035197680599850754
S06050,L0091,0.010862220986384065
S06050,L0021,0.06731032752249805
S06050,L0065,0.051220727323043336
S06051,L0014,0.01759673667328183
S06051,L0062,0.02262974321468
S06051,L0019,0.0210289411764284
S06052,L0005,0.009601965957184556
S06052,L0095,0.024144976417115133
S06052,L0003,0.00885097571010022
S06053,L0032,0.5546960731665405
S06053,L0031,0.5074427304345472
S06053,L0021,0.235378106567964
S06054,L0077,0.011154839540676465
S06054,L0035,0.007967542107549883
